kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
864;1640-1710;Mo-Fr;USA;Trans World Radio;R;CAs;/ARM;1;;
864;1655-1710;Sa;USA;Trans World Radio;KPK;CAs;/ARM;1;;
864;1655-1710;Su;USA;Trans World Radio;UZ;CAs;/ARM;1;;
864;1710-1740;;USA;Trans World Radio;UZ;CAs;/ARM;1;;
864;1740-1755;Th,Su;USA;Trans World Radio;CHE;CAs;/ARM;1;;
864;1740-1755;Fr;USA;Trans World Radio;KMY;CAs;/ARM;1;;
864;1740-1755;We;USA;Trans World Radio;LAK;CAs;/ARM;1;;
864;1740-1755;Tu;USA;Trans World Radio;LEZ;CAs;/ARM;1;;
864;1740-1755;Mo;USA;Trans World Radio;TBS;CAs;/ARM;1;;
864;1740-1755;Sa;USA;Trans World Radio;TT;CAs;/ARM;1;;
873;0131-0201;Su;IND;FEBA India;TAM;SAs;/CLN-p;1;;
873;0600-0800;;HNG;Magyar Radio 4;HR;HNG;lh;2;;
873;0600-0800;;HNG;Magyar Radio 4;HR;HNG;p;2;;
873;0800-1000;;HNG;Magyar Radio 4;D;HNG;lh;2;;
873;0800-1000;;HNG;Magyar Radio 4;D;HNG;p;2;;
873;1000-1100;;HNG;Magyar Radio 4;VX;HNG;lh;2;;
873;1000-1100;;HNG;Magyar Radio 4;VX;HNG;p;2;;
873;1100-1130;Tu;HNG;Magyar Radio 4;RU;HNG;lh;2;;
873;1100-1130;Mo;HNG;Magyar Radio 4;SV;HNG;lh;2;;
873;1100-1130;Fr;HNG;Magyar Radio 4;UK;HNG;lh;2;;
873;1100-1130;Fr;HNG;Magyar Radio 4;UK;HNG;p;2;;
873;1100-1130;Mo;HNG;Magyar Radio 4;SV;HNG;p;2;;
873;1100-1130;Tu;HNG;Magyar Radio 4;RU;HNG;p;2;;
873;1100-1130;We;HNG;Magyar Radio 4;GR;HNG;p;2;;
873;1100-1130;We;HNG;Magyar Radio 4;GR;HNG;lh;2;;
873;1100-1130;Th;HNG;Magyar Radio 4;BU;HNG;lh;2;;
873;1100-1130;Sa;HNG;Magyar Radio 4;AR;HNG;lh;2;;
873;1100-1130;Sa;HNG;Magyar Radio 4;AR;HNG;p;2;;
873;1100-1130;Th;HNG;Magyar Radio 4;BU;HNG;p;2;;
873;1130-1200;Sa;HNG;Magyar Radio 4;PO;HNG;p;2;;
873;1130-1200;Sa;HNG;Magyar Radio 4;PO;HNG;lh;2;;
873;1200-1400;;HNG;Magyar Radio 4;SR;HNG;lh;2;;
873;1200-1400;;HNG;Magyar Radio 4;SR;HNG;p;2;;
873;1400-1600;;HNG;Magyar Radio 4;RO;HNG;lh;2;;
873;1400-1600;;HNG;Magyar Radio 4;RO;HNG;p;2;;
873;1600-1800;;HNG;Magyar Radio 4;SK;HNG;p;2;;
873;1600-1800;;HNG;Magyar Radio 4;SK;HNG;lh;2;;
873;0131-0145;Su;IND;FEBA India;TAM;SAs;/CLN-p;1;;
873;0300-1900;;MDA;R.Moldova Actualitati;RO;MDA;;2;;
873;0600-0610;SaSu;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;0600-0615;Mo-Fr;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;0800-0805;;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1100-1105;SaSu;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1100-1110;Mo-Fr;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1500-1510;We-Mo;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1715-1735;We;MDA;R.Moldova Actualitati;HB;MDA;;2;;
873;1715-1735;Tu;MDA;R.Moldova Actualitati;VX;MDA;;2;;
873;1715-1755;Fr;MDA;R.Moldova Actualitati;BU;MDA;;2;;
873;1715-1755;Mo;MDA;R.Moldova Actualitati;GAG;MDA;;2;;
873;1715-1755;Th;MDA;R.Moldova Actualitati;UK;MDA;;2;;
873;1735-1755;Tu-We;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1800-1815;Mo-Fr;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1815-1830;Tu-Fr;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1630-1700;Sa;USA;Radio Liberty;RO;MDA;/MDA;2;;
873;1725-1755;Sa;USA;Radio Liberty;R;MDA;/MDA;2;;
873;1725-1755;Su;USA;Radio Liberty;RO;MDA;/MDA;2;;
873;1815-1845;Mo;USA;Radio Liberty;R;MDA;/MDA;2;;
873;1930-2000;Mo;USA;Radio Liberty;RO;MDA;/MDA;2;;
880;0000-2400;;B;Rádio Inconfidência;P;B;c;1;;
882;0000-0030;;IND;Trans World Radio;TAM;SAs;/CLN-p;1;;
882;0030-0045;Fr-Mo;IND;Trans World Radio;E;SAs;/CLN-p;1;;
882;0030-0045;Tu-Th;IND;Trans World Radio;TAM;SAs;/CLN-p;1;;
882;0045-0100;Sa;IND;Trans World Radio;KON;SAs;/CLN-p;1;;
882;0045-0100;Mo-Fr;IND;Trans World Radio;TAM;SAs;/CLN-p;1;;
882;0045-0100;Su;IND;Trans World Radio;TEL;SAs;/CLN-p;1;;
882;0100-0115;Fr-Sa;IND;Trans World Radio;KAN;SAs;/CLN-p;1;;
882;0100-0115;We;IND;Trans World Radio;OR;SAs;/CLN-p;1;;
882;0100-0115;Th;IND;Trans World Radio;TEL;SAs;/CLN-p;1;;
882;0100-0130;Su;IND;Trans World Radio;MAL;SAs;/CLN-p;1;;
882;0100-0130;Mo-Tu;IND;Trans World Radio;TAM;SAs;/CLN-p;1;;
882;0115-0130;We-Th;IND;Trans World Radio;E;SAs;/CLN-p;1;;
882;0115-0130;Sa;IND;Trans World Radio;KAN;SAs;/CLN-p;1;;
882;0115-0130;Fr;IND;Trans World Radio;MV;SAs;/CLN-p;1;;
882;1200-1215;;IND;Trans World Radio;E;SAs;/CLN-p;1;;
882;1215-1230;Tu;IND;Trans World Radio;BNJ;SAs;/CLN-p;1;;
882;1215-1230;Th;IND;Trans World Radio;DEC;SAs;/CLN-p;1;;
882;1215-1230;Sa;IND;Trans World Radio;GON;SAs;/CLN-p;1;;
882;1215-1230;We;IND;Trans World Radio;KON;SAs;/CLN-p;1;;
882;1215-1230;Mo;IND;Trans World Radio;KOY;SAs;/CLN-p;1;;
882;1230-1245;Mo;IND;Trans World Radio;CHG;SAs;/CLN-p;1;;
882;1230-1245;Sa;IND;Trans World Radio;E;SAs;/CLN-p;1;;
882;1230-1245;We-Th;IND;Trans World Radio;GU;SAs;/CLN-p;1;;
882;1230-1245;Su;IND;Trans World Radio;MAL;SAs;/CLN-p;1;;
882;1230-1245;Tu;IND;Trans World Radio;VAR;SAs;/CLN-p;1;;
882;1245-1300;SaSu;IND;Trans World Radio;SRA;SAs;/CLN-p;1;;
882;1245-1315;Mo-Fr;IND;Trans World Radio;CHG;SAs;/CLN-p;1;;
882;1300-1315;SaSu;IND;Trans World Radio;CHG;SAs;/CLN-p;1;;
882;1315-1345;Mo-Fr;IND;Trans World Radio;DEC;SAs;/CLN-p;1;;
882;1315-1345;Sa;IND;Trans World Radio;GU;SAs;/CLN-p;1;;
882;1315-1345;Su;IND;Trans World Radio;TEL;SAs;/CLN-p;1;;
882;1345-1400;Su;IND;Trans World Radio;GU;SAs;/CLN-p;1;;
882;1345-1400;Mo-Sa;IND;Trans World Radio;TEL;SAs;/CLN-p;1;;
882;1400-1415;SaSu;IND;Trans World Radio;GU;SAs;/CLN-p;1;;
882;1400-1415;Mo-Fr;IND;Trans World Radio;TEL;SAs;/CLN-p;1;;
882;1415-1430;Sa;IND;Trans World Radio;OR;SAs;/CLN-p;1;;
882;1415-1445;Su-Fr;IND;Trans World Radio;KAN;SAs;/CLN-p;1;;
882;1430-1500;Sa;IND;Trans World Radio;MAR;SAs;/CLN-p;1;;
882;1445-1515;Mo-Fr;IND;Trans World Radio;MAR;SAs;/CLN-p;1;;
882;1500-1515;SaSu;IND;Trans World Radio;OR;SAs;/CLN-p;1;;
882;1515-1530;;IND;Trans World Radio;OR;SAs;/CLN-p;1;;
882;1530-1545;Su-Fr;IND;Trans World Radio;OR;SAs;/CLN-p;1;;
882;1530-1545;Sa;IND;Trans World Radio;TEL;SAs;/CLN-p;1;;
882;1545-1615;SaSu;IND;Trans World Radio;E;SAs;/CLN-p;1;;
882;1545-1615;Mo-Fr;IND;Trans World Radio;GON;SAs;/CLN-p;1;;
882;2230-2300;;IND;Trans World Radio;BE;SAs;/CLN-p;1;;
882;2300-2315;Mo-Tu;IND;Trans World Radio;KKN;SAs;/CLN-p;1;;
882;2300-2330;We-Su;IND;Trans World Radio;GU;SAs;/CLN-p;1;;
882;2315-2330;Mo;IND;Trans World Radio;KTW;SAs;/CLN-p;1;;
882;2315-2330;Tu;IND;Trans World Radio;KUT;SAs;/CLN-p;1;;
882;2330-2400;;IND;Trans World Radio;MAL;SAs;/CLN-p;1;;
909;0305-0320;Sa;ROU;Radio Cluj;UK;UKR;;2;;
909;1803-1900;Fr;ROU;Radio Constanta;AR;ROU;;2;;
909;1803-1900;Mo;ROU;Radio Constanta;GR;ROU;;2;;
909;1803-1900;We;ROU;Radio Constanta;R;ROU;;2;;
909;1803-1900;Th;ROU;Radio Constanta;TT;ROU;;2;;
909;1803-1900;Tu;ROU;Radio Constanta;TU;ROU;;2;;
909;0720-0730;Su;ROU;Radio Bukarest;D;ROU;;2;;
909;1100-1200;Mo-Sa;ROU;Radio Bukarest;D;ROU;;2;;
909;0300-0700;;USA;Voice of America;E;SAf;/BOT;1;;
909;1600-1700;;USA;Voice of America;E;Af;/BOT;1;;
909;1700-1800;;USA;Voice of America;ZWE;ZWE;/BOT;1;;
909;1800-1830;Mo-Fr;USA;Voice of America;ZWE;ZWE;/BOT;1;;
909;1800-1900;SaSu;USA;Voice of America;E;Af;/BOT;1;;
909;1830-1900;Mo-Fr;USA;Voice of America;ZWE;ZWE;/BOT;1;;
909;1900-2100;;USA;Voice of America;E;Af;/BOT;1;;
918;2030-2035;;SVN;Radio Slovenija;E;Eu;;2;;
918;2035-2040;;SVN;Radio Slovenija;D;Eu;;2;;
918;2040-2030;;SVN;Radio Slovenija;SV;Eu;;2;;
927;1930-2000;;ALG;Radio Algiers Int.;S;NAf;tm;1;;
927;2000-2030;;ALG;Radio Algiers Int.;A;NAf;tm;1;;
927;2030-2100;;ALG;Radio Algiers Int.;F;NAf;tm;1;;
927;2100-2130;;ALG;Radio Algiers Int.;A;NAf;tm;1;;
927;2130-2200;;ALG;Radio Algiers Int.;E;NAf;tm;1;;
927;2200-2230;;ALG;Radio Algiers Int.;S;NAf;tm;1;;
927;2230-2300;;ALG;Radio Algiers Int.;A;NAf;tm;1;;
927;1600-1630;;J;NHK Radio Japan;R;CAs;/TJK;1;;
927;1630-1700;;J;NHK Radio Japan;FS;IRN;/TJK;1;;
927;1700-1745;;J;NHK Radio Japan;UR;SAs;/TJK;1;;
954;1705-1710;Mo-Fr;CZE;Radio Prague;E;CEu;b;2;;
954;1705-1710;Mo-Fr;CZE;Radio Prague;E;CEu;cb;2;;
954;1705-1710;Mo-Fr;CZE;Radio Prague;E;CEu;kv;2;;
954;1805-1810;Mo-Fr;CZE;Radio Prague;E;CEu;b;2;;
954;1805-1810;Mo-Fr;CZE;Radio Prague;E;CEu;cb;2;;
954;1805-1810;Mo-Fr;CZE;Radio Prague;E;CEu;kv;2;;
954;0615-0630;Fr;IND;FEBA India;HI;SAs;nj;1;;
963;1000-1100;;CHN;China Radio Int.;R;FE;;1;;
963;1100-1200;;CHN;China Radio Int.;R;FE;;1;;
963;1200-1300;;CHN;China Radio Int.;R;FE;;1;;
963;1300-1400;;CHN;China Radio Int.;R;FE;;1;;
963;1400-1500;;CHN;China Radio Int.;R;FE;;1;;
963;1500-1600;;CHN;China Radio Int.;R;FE;;1;;
963;1303-1400;;TUN;Radio Tunis Chaine Int.;E;NAf;;1;;[0216]
963;1403-1500;;TUN;Radio Tunis Chaine Int.;D;NAf;;1;;[0116]
963;1503-1600;;TUN;Radio Tunis Chaine Int.;I;NAf;;1;;
963;1900-2000;;TUN;Radio Tunis Chaine Int.;S;NAf;;1;;[1015]
972;0350-2400;;KOR;KBS Hanminjok;K;FE;d;1;;
972;1400-0200;;USA;VoA Radio Aap ki Dunya;UR;SAs;/TJK-o;1;;
990;0000-2400;;USA;Radio Sawa;A;ME;/CYP-g;1;;
999;1800-1815;;USA;Trans World Radio;UK;EEu;/MDA;2;;
999;1815-1830;SaSu;USA;Trans World Radio;R;EEu;/MDA;2;;
999;1815-1830;Mo-Fr;USA;Trans World Radio;UK;EEu;/MDA;2;;
999;1830-1845;Tu,Su;USA;Trans World Radio;R;EEu;/MDA;2;;
999;1830-1845;13456;USA;Trans World Radio;UK;EEu;/MDA;2;;
999;1845-1900;Su-Tu;USA;Trans World Radio;R;EEu;/MDA;2;;
999;1845-1900;We-Sa;USA;Trans World Radio;UK;EEu;/MDA;2;;
999;1900-1915;Su-Fr;USA;Trans World Radio;R;EEu;/MDA;2;;
999;1900-1915;Sa;USA;Trans World Radio;UK;EEu;/MDA;2;;
999;1915-1930;Mo;USA;Trans World Radio;BY;EEu;/MDA;2;;
999;1915-1930;Tu-Su;USA;Trans World Radio;R;EEu;/MDA;2;;
1008;1500-1600;;EGY;Radio Cairo;R;ISR;ea;1;;
1008;1600-1640;;EGY;Radio Cairo;E;ISR;ea;1;;
1008;1700-2200;;EGY;Radio Cairo;HB;ISR;ea;1;;
1017;1100-1500;;CHN;China Radio Int.;K;FE;cc;1;;
1017;0600-1100;;CHN;China National Radio 8;K;CHN;cc;1;;
1035;1200-1600;;PAK;Radio Pakistan;UR;PAK;m;1;;
1035;0300-0500;;USA;Trans World Radio;R;EEu;/EST-tt;1;;
1035;1700-1800;135;USA;Trans World Radio;R;EEu;/EST-tt;1;;
1035;1800-2000;;USA;Trans World Radio;R;EEu;/EST-tt;1;;
1044;1100-1600;;CHN;China Radio Int.;J;FE;ch;1;;
1053;1530-1545;;IND;AIR Delhi;E;SAs;t;1;;
1053;1545-1600;;IND;AIR Delhi;E;SAs;t;1;;
1053;0000-0045;;IND;All India Radio GOS;TAM;CLN;t;1;;
1053;0045-0115;;IND;All India Radio GOS;SI;CLN;t;1;;
1053;0115-0330;;IND;All India Radio GOS;TAM;CLN;t;1;;
1053;1000-1100;;IND;All India Radio GOS;E;CLN;t;1;;
1053;1100-1300;;IND;All India Radio GOS;TAM;CLN;t;1;;
1053;1300-1500;;IND;All India Radio GOS;SI;CLN;t;1;;
1053;1500-1530;;IND;All India Radio GOS;TAM;CLN;t;1;;
1053;1030-1100;Th;ROU;Radio Iasi;R;ROU;;2;;
1053;1030-1100;We;ROU;Radio Iasi;UK;ROU;;2;;
1053;1730-1800;We;ROU;Radio Iasi;R;ROU;;2;;
1060;0500-0530;;F;Radio France Int.;S;CAm;/MEX-e;2;;
1060;2300-0500;;MEX;Radio Educación;S;CAm;e;2;;
1060;0530-2300;;MEX;Radio Educación;S;CAm;e;2;;
1071;1835-1840;Mo-Fr;CZE;Radio Prague;E;CEu;os;2;;
1071;2035-2040;Mo-Fr;CZE;Radio Prague;E;CEu;os;2;;
1071;0015-0430;;IND;All India Radio GOS;UR;PAK;r;1;;
1071;0630-0815;;IND;All India Radio GOS;UR;PAK;r;1;;
1071;0830-1930;;IND;All India Radio GOS;UR;PAK;r;1;;
1080;1130-1230;;CHN;China Radio Int.;T;SEA;xw;1;;
1080;1330-1430;;CHN;China Radio Int.;T;SEA;xw;1;;
1080;1430-1530;;CHN;China Radio Int.;LAO;SEA;xw;1;;
1080;1600-1700;;CHN;China Radio Int.;E;SEA;xw;1;;
1080;1700-1800;;CHN;China Radio Int.;E;SEA;xw;1;;
1080;1623-0320;;IRN;IRIB Voice of I.R.Iran;A;ME;mh;1;;
1080;0430-0630;;KRE;Echo of Unification;K;KOR;j;1;;
1080;1230-1430;;KRE;Echo of Unification;K;KOR;j;1;;
1080;2230-0030;;KRE;Echo of Unification;K;KOR;j;1;;
1088;0000-2400;;AGL;R Nacional, Canal A;P;Af;m;1;;
1089;1930-2000;;ALG;Radio Algiers Int.;S;NAf;ad;1;;
1089;2000-2030;;ALG;Radio Algiers Int.;A;NAf;ad;1;;
1089;2030-2100;;ALG;Radio Algiers Int.;F;NAf;ad;1;;
1089;2100-2130;;ALG;Radio Algiers Int.;A;NAf;ad;1;;
1089;2130-2200;;ALG;Radio Algiers Int.;E;NAf;ad;1;;
1089;2200-2230;;ALG;Radio Algiers Int.;S;NAf;ad;1;;
1089;2230-2300;;ALG;Radio Algiers Int.;A;NAf;ad;1;;
1098;0000-0200;;CHN;China National Radio 11;TB;CHN;q;1;;
1098;0200-0300;;CHN;China National Radio 11;AMD;CHN;q;1;;
1098;0300-0400;;CHN;China National Radio 11;KHA;CHN;q;1;;
1098;0400-0600;;CHN;China National Radio 11;TB;CHN;q;1;;
1098;0600-0900;Th-Tu;CHN;China National Radio 11;TB;CHN;q;1;;
1098;0900-1400;;CHN;China National Radio 11;TB;CHN;q;1;;
1098;1400-1500;;CHN;China National Radio 11;AMD;CHN;q;1;;
1098;1500-1600;;CHN;China National Radio 11;KHA;CHN;q;1;;
1098;1600-1605;;CHN;China National Radio 11;TB;CHN;q;1;;
1098;2155-2400;;CHN;China National Radio 11;TB;CHN;q;1;;
1098;2150-1605;;CHN;PBS Nei Menggu;MO;CHN;nm;1;;
1098;0130-0230;;IRN;IRIB Voice of I.R.Iran;UR;PAK;zb;1;;
1098;0253-0620;;IRN;IRIB Voice of I.R.Iran;DR;AFG;zb;1;;
1098;0720-0820;;IRN;IRIB Voice of I.R.Iran;PS;PAK;zb;1;;
1098;0823-1450;;IRN;IRIB Voice of I.R.Iran;DR;AFG;zb;1;;
1098;1550-1720;;IRN;IRIB Voice of I.R.Iran;TJ;CAs;zb;1;;
1098;1200-1300;;TWN;Ikuan Tao;M;CHN;k;1;;
1098;1300-1500;;TWN;Radio Taiwan Int.;M;SEA;k;1;;
1098;1500-1600;;TWN;Radio Taiwan Int.;M;SEA;k;1;;
1098;1600-1705;;TWN;Radio Taiwan Int.;M;SEA;k;1;;
1098;1900-2000;;USA;Radio Free Asia;M;FE;/TWN-k;1;;
1098;2000-2100;;USA;Radio Free Asia;M;FE;/TWN-k;1;;
1098;2100-2200;;USA;Radio Free Asia;M;FE;/TWN-k;1;;
1116;1000-1100;;CHN;China Radio Int.;R;FE;;1;;
1116;1100-1200;;CHN;China Radio Int.;R;FE;;1;;
1125;1430-1530;;CLN;Sri Lanka BC;TAM;SAs;p;1;;
1125;0000-0100;Su-Tu;IND;FEBA India;TAM;SAs;/CLN-p;1;;
1134;2023-1805;;CHN;China National Radio 1;M;CHN;q;1;;
1134;1000-1100;;IND;All India Radio DIGITAL;E;BGD;ko;1;;
1134;1000-1740;;IND;All India Radio DIGITAL;BE;BGD;ko;1;;
1134;1000-1740;;IND;Vividh Bharati DIGITAL;HI;SAs;ko;1;;
1143;0200-0400;;TJK;Voice of Tajik;TJ;As;y;1;;
1143;0400-0600;;TJK;Voice of Tajik;FS;As;y;1;;
1143;0600-0800;;TJK;Voice of Tajik;DR;As;y;1;;
1143;0800-1000;;TJK;Voice of Tajik;R;As;y;1;;[0915]
1143;1000-1100;;TJK;Voice of Tajik;UZ;As;y;1;;
1143;1100-1200;;TJK;Voice of Tajik;HI;As;y;1;;
1143;1200-1300;;TJK;Voice of Tajik;A;As;y;1;;
1143;1300-1400;;TJK;Voice of Tajik;E;As;y;1;;
1143;1400-1600;;TJK;Voice of Tajik;TJ;As;y;1;;
1143;1600-1800;;TJK;Voice of Tajik;FS;As;y;1;;
1161;1930-2000;;ALG;Radio Algiers Int.;S;NAf;s;1;;
1161;2000-2030;;ALG;Radio Algiers Int.;A;NAf;s;1;;
1161;2030-2100;;ALG;Radio Algiers Int.;F;NAf;s;1;;
1161;2100-2130;;ALG;Radio Algiers Int.;A;NAf;s;1;;
1161;2130-2200;;ALG;Radio Algiers Int.;E;NAf;s;1;;
1161;2200-2230;;ALG;Radio Algiers Int.;S;NAf;s;1;;
1161;2230-2300;;ALG;Radio Algiers Int.;A;NAf;s;1;;
1161;0123-0420;;IRN;IRIB Voice of I.R.Iran;A;ME;q;1;;
1161;1623-2020;;IRN;IRIB Voice of I.R.Iran;A;ME;q;1;;
1170;0400-0700;;BLR;Belaruskoye Radio 1;BY;EEu;;6;2703;3103
1170;0555-0600;Su;CVA;Radio Vaticana;BY;EEu;/BLR;6;2703;3103
1170;1000-1100;;KOR;KBS World Radio;K;FE;k;1;;
1170;1100-1300;;KOR;KBS World Radio;J;J;k;1;;
1170;1300-1400;;KOR;KBS World Radio;M;FE;k;1;;
1170;1800-1830;;SWZ;Trans World Radio;Z;SAf;;1;;
1170;1830-2155;;SWZ;Trans World Radio;E;SAf;;1;;
1170;0000-2400;;USA;Radio Sawa;A;ME;/UAE;1;;
1188;1200-1300;;CHN;China Radio Int.;E;SAs;k;1;;
1188;1300-1400;;CHN;China Radio Int.;BE;SAs;k;1;;
1188;1400-1500;;CHN;China Radio Int.;NE;SAs;k;1;;
1188;1500-1600;;CHN;China Radio Int.;E;SAs;k;1;;
1188;1600-1700;;CHN;China Radio Int.;HI;SAs;k;1;;
1188;0600-0800;;HNG;Magyar Radio 4;HR;HNG;m;2;;
1188;0600-0800;;HNG;Magyar Radio 4;HR;HNG;sz;2;;
1188;0800-1000;;HNG;Magyar Radio 4;D;HNG;m;2;;
1188;0800-1000;;HNG;Magyar Radio 4;D;HNG;sz;2;;
1188;1000-1100;;HNG;Magyar Radio 4;VX;HNG;m;2;;
1188;1000-1100;;HNG;Magyar Radio 4;VX;HNG;sz;2;;
1188;1100-1130;Tu;HNG;Magyar Radio 4;RU;HNG;m;2;;
1188;1100-1130;Mo;HNG;Magyar Radio 4;SV;HNG;m;2;;
1188;1100-1130;Fr;HNG;Magyar Radio 4;UK;HNG;m;2;;
1188;1100-1130;Fr;HNG;Magyar Radio 4;UK;HNG;sz;2;;
1188;1100-1130;Mo;HNG;Magyar Radio 4;SV;HNG;sz;2;;
1188;1100-1130;Tu;HNG;Magyar Radio 4;RU;HNG;sz;2;;
1188;1100-1130;We;HNG;Magyar Radio 4;GR;HNG;sz;2;;
1188;1100-1130;We;HNG;Magyar Radio 4;GR;HNG;m;2;;
1188;1100-1130;Th;HNG;Magyar Radio 4;BU;HNG;m;2;;
1188;1100-1130;Sa;HNG;Magyar Radio 4;AR;HNG;m;2;;
1188;1100-1130;Sa;HNG;Magyar Radio 4;AR;HNG;sz;2;;
1188;1100-1130;Th;HNG;Magyar Radio 4;BU;HNG;sz;2;;
1188;1130-1200;Sa;HNG;Magyar Radio 4;PO;HNG;sz;2;;
1188;1130-1200;Sa;HNG;Magyar Radio 4;PO;HNG;m;2;;
1188;1200-1400;;HNG;Magyar Radio 4;SR;HNG;m;2;;
1188;1200-1400;;HNG;Magyar Radio 4;SR;HNG;sz;2;;
1188;1400-1600;;HNG;Magyar Radio 4;RO;HNG;m;2;;
1188;1400-1600;;HNG;Magyar Radio 4;RO;HNG;sz;2;;
1188;1600-1800;;HNG;Magyar Radio 4;SK;HNG;sz;2;;
1188;1600-1800;;HNG;Magyar Radio 4;SK;HNG;m;2;;
1188;1000-1100;Mo-Fr;PHL;FEBC Manila;E;FE;/KOR-s;1;;
1188;1900-2000;;PHL;FEBC Manila;M;FE;/KOR-s;1;;
1188;2000-1000;;PHL;FEBC Manila;K;FE;/KOR-s;1;;
1188;1500-1700;;USA;Radio Free Asia;K;FE;/KOR-s;1;;
1188;1700-1900;;USA;Radio Free Asia;K;FE;/KOR-s;1;;
1188;1100-1500;;USA;Voice of America;K;FE;/KOR-s;1;;
1197;0720-0730;Su;ROU;Radio Bukarest;D;ROU;;2;;
1197;1100-1200;Mo-Sa;ROU;Radio Bukarest;D;ROU;;2;;
1197;0730-0800;Su;ROU;Radio Neumarkt;D;ROU;;2;;
1197;1800-1900;Mo-Sa;ROU;Radio Neumarkt;D;ROU;;2;;
1206;1000-1100;;TWN;Radio Taiwan Int.;AM;SEA;m;1;;
1206;1100-1200;;TWN;Radio Taiwan Int.;M;SEA;m;1;;
1206;1200-1300;;TWN;Radio Taiwan Int.;AM;SEA;m;1;;
1206;1300-1400;;TWN;Radio Taiwan Int.;VN;SEA;m;1;;
1215;1320-0043;;IND;AIR National Channel;HI;SAs;d;1;;
1215;1430-1435;;IND;AIR National Channel;E;SAs;d;1;;
1215;1435-1500;135;IND;AIR National Channel;E;SAs;d;1;;
1224;0000-2400;;IRN;IRIB Voice of I.R.Iran;A;ME;ke;1;;
1233;1925-1940;;USA;Trans World Radio;A;ME;/CYP-g;2;;
1233;1940-1956;Th-Su;USA;Trans World Radio;A;ME;/CYP-g;2;;
1233;1940-1956;Tu;USA;Trans World Radio;JOR;ME;/CYP-g;2;;
1233;1940-1956;Mo,We;USA;Trans World Radio;LBN;ME;/CYP-g;2;;
1233;1956-2026;Fr-We;USA;Trans World Radio;A;ME;/CYP-g;2;;
1233;1956-2026;Th;USA;Trans World Radio;EGY;ME;/CYP-g;2;;
1233;2026-2041;Su;USA;Trans World Radio;LBN;ME;/CYP-g;2;;
1233;2026-2056;Mo-Fr;USA;Trans World Radio;A;ME;/CYP-g;2;;
1233;2026-2126;Sa;USA;Trans World Radio;EGY;ME;/CYP-g;2;;
1233;2041-2111;Su;USA;Trans World Radio;EGY;ME;/CYP-g;2;;
1242;0100-2145;;OMA;Radio Sultanate Oman;A;OMA;s;1;;[0116]
1251;1300-1330;;G;BBC;UZ;CAs;/TJK;1;;
1260;0615-0745;Su;CVA;Radio Vaticana;UK;SEu;;2;;
1260;1130-1200;;CVA;Radio Vaticana;S;SEu;;2;;
1260;1230-1300;;CVA;Radio Vaticana;R;SEu;;2;;
1260;1530-1600;;CVA;Radio Vaticana;A;SEu;;5;;
1260;1610-1640;;CVA;Radio Vaticana;R;SEu;;5;;
1260;1630-1700;;CVA;Radio Vaticana;A;SEu;;4;;
1260;1640-1700;;CVA;Radio Vaticana;UK;SEu;;5;;
1260;1800-1820;;CVA;Radio Vaticana;BY;SEu;;4;;
1269;1100-1200;;CHN;China Radio Int.;E;SEA;xw;1;;
1269;1200-1300;;CHN;China Radio Int.;E;SEA;xw;1;;
1269;1400-1500;;CHN;China Radio Int.;BE;SAs;xw;1;;
1269;1500-1600;;CHN;China Radio Int.;NE;SAs;xw;1;;
1269;1600-1700;;CHN;China Radio Int.;HI;SAs;xw;1;;
1269;1700-1800;;CHN;China Radio Int.;HI;SAs;xw;1;;
1278;1700-2100;;UKR;Radio Ukraine Int.;R;RUS;;1;;[0116]
1287;0000-1230;;KGZ;Birinchi Radio;KG;CAs;b;1;;
1287;1445-1500;;USA;Trans World Radio;E;CAs;/KGZ-b;1;;[1115]
1287;1500-1530;;USA;Trans World Radio;KZ;CAs;/KGZ-b;1;;
1287;1530-1600;;USA;Trans World Radio;UZ;CAs;/KGZ-b;1;;
1287;1600-1630;;USA;Trans World Radio;UI;CAs;/KGZ-b;1;;[1115]
1287;1630-1715;;USA;Trans World Radio;R;CAs;/KGZ-b;1;;
1287;1715-1730;;USA;Trans World Radio;KG;CAs;/KGZ-b;1;;
1296;1100-1500;;CHN;China Radio Int.;VN;SEA;k;1;;
1296;0200-1930;;SDN;Radio Republic of Sudan;A;EAf;r;1;;
1296;1930-2230;;SDN;Radio Republic of Sudan;A;EAf;r;1;;
1296;0230-0300;;USA;Radio Liberty;PS;AFG;/AFG-k;1;;
1296;0300-0330;;USA;Radio Liberty;DR;AFG;/AFG-k;1;;
1296;0330-0430;;USA;Radio Liberty;PS;AFG;/AFG-k;1;;
1296;0430-0530;;USA;Radio Liberty;DR;AFG;/AFG-k;1;;
